lat,lng,trab,nao_trab,total,tipo,focal,peri,nebul,mecanico,alternativo,agente,ordem,casa,im_aegypti,im_albopictus
-23.71328,-46.52412,1,0,1.0,1,,,,,,,,,,
-23.713,-46.52416,2,0,2.0,1,,,,,,,,,,
-23.713,-46.52413,3,0,3.0,1,,,,,,,,,,
-23.713,-46.52412,1,0,1.0,1,,,,,,,,,,
-23.71309,-46.52416,3,0,3.0,1,,,,,,,,,,
-23.71303,-46.52412,1,0,1.0,1,,,,,,,,,,
-23.713,-46.52421,1,0,1.0,1,,,,,,,,,,
-23.71292,-46.52648,1,0,1.0,1,,,,,,,,,,
-23.71242,-46.52555,1,0,1.0,1,,,,,,,,,,
-23.71266,-46.52583,1,0,1.0,1,,,,,,,,,,
-23.71285,-46.5253,1,0,1.0,1,,,,,,,,,,
-23.71278,-46.52518,1,0,1.0,1,,,,,,,,,,
-23.71276,-46.52494,2,0,2.0,1,,,,,,,,,,
-23.71254,-46.5251,1,0,1.0,1,,,,,,,,,,
-23.71254,-46.52503,1,0,1.0,1,,,,,,,,,,
-23.71255,-46.52507,5,0,5.0,1,,,,,,,,,,
-23.71259,-46.52507,1,0,1.0,1,,,,,,,,,,
-23.71262,-46.52509,1,0,1.0,1,,,,,,,,,,
-23.71265,-46.52506,2,0,2.0,1,,,,,,,,,,
-23.71263,-46.52509,1,0,1.0,1,,,,,,,,,,
-23.71262,-46.525,1,0,1.0,1,,,,,,,,,,
-23.71261,-46.52501,2,0,2.0,1,,,,,,,,,,
-23.71262,-46.52501,1,0,1.0,1,,,,,,,,,,
-23.71249,-46.5249,1,0,1.0,1,,,,,,,,,,
-23.71194,-46.52482,1,0,1.0,1,,,,,,,,,,
-23.71198,-46.52488,2,0,2.0,1,,,,,,,,,,
-23.71199,-46.52489,1,0,1.0,1,,,,,,,,,,
-23.71196,-46.52491,2,0,2.0,1,,,,,,,,,,
-23.71222,-46.52505,1,0,1.0,1,,,,,,,,,,
-23.71218,-46.52512,2,0,2.0,1,,,,,,,,,,
-23.71221,-46.52517,1,0,1.0,1,,,,,,,,,,
-23.71222,-46.52506,1,0,1.0,1,,,,,,,,,,
-23.71227,-46.52501,1,0,1.0,1,,,,,,,,,,
-23.71225,-46.52504,3,0,3.0,1,,,,,,,,,,
-23.71232,-46.52501,1,0,1.0,1,,,,,,,,,,
-23.71235,-46.52494,1,0,1.0,1,,,,,,,,,,
-23.71234,-46.52497,1,0,1.0,1,,,,,,,,,,
-23.71229,-46.52539,1,0,1.0,1,,,,,,,,,,
-23.71224,-46.5252,4,0,4.0,1,,,,,,,,,,
-23.71222,-46.52529,1,0,1.0,1,,,,,,,,,,
-23.71221,-46.52521,3,0,3.0,1,,,,,,,,,,
-23.71222,-46.5252,1,0,1.0,1,,,,,,,,,,
-23.71206,-46.52535,1,0,1.0,1,,,,,,,,,,
-23.71209,-46.52535,1,0,1.0,1,,,,,,,,,,
-23.71212,-46.5252,2,0,2.0,1,,,,,,,,,,
-23.71212,-46.52524,1,0,1.0,1,,,,,,,,,,
-23.71212,-46.52525,1,0,1.0,1,,,,,,,,,,
-23.71217,-46.52496,1,0,1.0,1,,,,,,,,,,
-23.71216,-46.52496,1,0,1.0,1,,,,,,,,,,
-23.71215,-46.52498,1,0,1.0,1,,,,,,,,,,
-23.71216,-46.52498,1,0,1.0,1,,,,,,,,,,
-23.71213,-46.52499,3,0,3.0,1,,,,,,,,,,
-23.71213,-46.52497,1,0,1.0,1,,,,,,,,,,
-23.71214,-46.52498,2,0,2.0,1,,,,,,,,,,
-23.71212,-46.525,3,0,3.0,1,,,,,,,,,,
-23.71212,-46.52502,1,0,1.0,1,,,,,,,,,,
-23.71213,-46.52503,1,0,1.0,1,,,,,,,,,,
-23.7121,-46.52505,1,0,1.0,1,,,,,,,,,,
-23.71211,-46.52497,1,0,1.0,1,,,,,,,,,,
-23.71206,-46.52503,1,0,1.0,1,,,,,,,,,,
-23.712,-46.52518,1,0,1.0,1,,,,,,,,,,
-23.71203,-46.5251,1,0,1.0,1,,,,,,,,,,
-23.71198,-46.5251,1,0,1.0,1,,,,,,,,,,
-23.71204,-46.52526,1,0,1.0,1,,,,,,,,,,
-23.71182,-46.52521,1,0,1.0,1,,,,,,,,,,
-23.71182,-46.52523,1,0,1.0,1,,,,,,,,,,
-23.71186,-46.52521,1,0,1.0,1,,,,,,,,,,
-23.7119,-46.52514,1,0,1.0,1,,,,,,,,,,
-23.7119,-46.52515,1,0,1.0,1,,,,,,,,,,
-23.71188,-46.5251,1,0,1.0,1,,,,,,,,,,
-23.71184,-46.52514,2,0,2.0,1,,,,,,,,,,
-23.71182,-46.52517,4,0,4.0,1,,,,,,,,,,
-23.71174,-46.52527,1,0,1.0,1,,,,,,,,,,
-23.71176,-46.5252,1,0,1.0,1,,,,,,,,,,
-23.71178,-46.52538,1,0,1.0,1,,,,,,,,,,
-23.7118,-46.52539,1,0,1.0,1,,,,,,,,,,
-23.71177,-46.5254,1,0,1.0,1,,,,,,,,,,
-23.71166,-46.52537,1,0,1.0,1,,,,,,,,,,
-23.71168,-46.52539,1,0,1.0,1,,,,,,,,,,
-23.71165,-46.52533,2,0,2.0,1,,,,,,,,,,
-23.71163,-46.52528,1,0,1.0,1,,,,,,,,,,
-23.71163,-46.52524,1,0,1.0,1,,,,,,,,,,
-23.71165,-46.52524,1,0,1.0,1,,,,,,,,,,
-23.71153,-46.52523,1,0,1.0,1,,,,,,,,,,
-23.71155,-46.52524,1,0,1.0,1,,,,,,,,,,
-23.71156,-46.52524,1,0,1.0,1,,,,,,,,,,
-23.71156,-46.52526,1,0,1.0,1,,,,,,,,,,
-23.71158,-46.52518,1,0,1.0,1,,,,,,,,,,
-23.71168,-46.52502,1,0,1.0,1,,,,,,,,,,
-23.71168,-46.52456,1,0,1.0,1,,,,,,,,,,
-23.71168,-46.52454,1,0,1.0,1,,,,,,,,,,
-23.7117,-46.52446,1,0,1.0,1,,,,,,,,,,
-23.71172,-46.52454,1,0,1.0,1,,,,,,,,,,
-23.71175,-46.52462,1,0,1.0,1,,,,,,,,,,
-23.71179,-46.5246,2,0,2.0,1,,,,,,,,,,
-23.7118,-46.52464,5,0,5.0,1,,,,,,,,,,
-23.71179,-46.52467,1,0,1.0,1,,,,,,,,,,
-23.71179,-46.52468,1,0,1.0,1,,,,,,,,,,
-23.71176,-46.52464,4,0,4.0,1,,,,,,,,,,
-23.71184,-46.52472,1,0,1.0,1,,,,,,,,,,
-23.71186,-46.52478,2,0,2.0,1,,,,,,,,,,
-23.71187,-46.52478,1,0,1.0,1,,,,,,,,,,
-23.71193,-46.52482,2,0,2.0,1,,,,,,,,,,
-23.7119,-46.52479,3,0,3.0,1,,,,,,,,,,
-23.71188,-46.52479,1,0,1.0,1,,,,,,,,,,
-23.7117,-46.52441,1,0,1.0,1,,,,,,,,,,
-23.7113,-46.52433,13,0,13.0,1,,,,,,,,,,
-23.71124,-46.52442,2,0,2.0,1,,,,,,,,,,
-23.71116,-46.52433,1,0,1.0,1,,,,,,,,,,
-23.71098,-46.52453,1,0,1.0,1,,,,,,,,,,
-23.71105,-46.52453,1,0,1.0,1,,,,,,,,,,
-23.71104,-46.52463,3,0,3.0,1,,,,,,,,,,
-23.71103,-46.52467,1,0,1.0,1,,,,,,,,,,
-23.711,-46.52466,1,0,1.0,1,,,,,,,,,,
-23.71101,-46.52467,1,0,1.0,1,,,,,,,,,,
-23.71099,-46.52469,1,0,1.0,1,,,,,,,,,,
-23.711,-46.52469,3,0,3.0,1,,,,,,,,,,
-23.71098,-46.5247,1,0,1.0,1,,,,,,,,,,
-23.71098,-46.52471,2,0,2.0,1,,,,,,,,,,
-23.71098,-46.52472,1,0,1.0,1,,,,,,,,,,
-23.71097,-46.52472,2,0,2.0,1,,,,,,,,,,
