area,censitario,mes,trabalhados,im_aegypti,ip_aegypti,rec_aegypti,ib_aegypti,im_albopictus,ip_albopictus,rec_albopictus,ib_albopictus,tipo,lat,lng,id_grupo_rec,trab,rec_ex,rec_ag,rec_lv,lv_aeg,lv_alb,rec_aeg,rec_alb,atividade,ex,qt,ntrab,cob(t),cob(v),id_atividade,pos_aeg,pos_alb,focal,peri,nebul,mec,alt,grupo,imoveis,existentes,com_agua,com_larvas,com_aegypti,com_albopictus,larvas_aegypti,larvas_albopictus,trab_ini,fech_ini,pend_ini,trab_rec,pend_fim,trab_dem,tipo_trab,fech,desoc,temp,parc,rec,total
1,354990405000436,1,21,0,0.00,0,0.00,0,0.00,1,4.76,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000491,1,23,0,0.00,0,0.00,0,0.00,0,0.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000492,1,25,0,0.00,0,0.00,0,0.00,1,4.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000493,1,20,1,5.00,4,20.00,1,5.00,3,15.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000540,1,22,0,0.00,0,0.00,0,0.00,1,4.55,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000541,1,21,0,0.00,0,0.00,0,0.00,2,9.52,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000642,1,22,2,9.09,2,9.09,2,9.09,0,0.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000643,1,20,0,0.00,0,0.00,0,0.00,1,5.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000644,1,21,1,4.76,1,4.76,1,4.76,0,0.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000645,1,20,0,0.00,0,0.00,0,0.00,0,0.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000845,1,42,2,4.76,2,4.76,2,4.76,1,2.38,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000846,1,15,1,6.67,2,13.33,1,6.67,0,0.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000860,1,20,1,5.00,1,5.00,1,5.00,0,0.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000862,1,20,0,0.00,0,0.00,0,0.00,0,0.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000864,1,23,2,8.70,2,8.70,2,8.70,0,0.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000897,1,20,0,0.00,0,0.00,0,0.00,0,0.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,354990405000930,1,43,2,4.65,2,4.65,2,4.65,0,0.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
