area,retirada,recolhidas,positivas,ovos
1,09/2024,6,4,83
1,10/2024,6,4,39
1,11/2024,6,3,34
10,09/2024,5,3,28
10,10/2024,5,5,212
10,11/2024,5,3,57
101,09/2024,2,0,0
101,10/2024,2,1,57
101,11/2024,2,1,73
11,09/2024,7,6,698
11,10/2024,7,5,94
11,11/2024,7,5,282
12,09/2024,12,12,569
12,10/2024,13,9,629
12,11/2024,11,8,307
13,09/2024,13,9,839
13,10/2024,13,9,680
13,11/2024,13,7,487
14,09/2024,9,6,613
14,10/2024,9,7,662
14,11/2024,10,8,271
15,09/2024,2,1,1
15,10/2024,2,0,0
15,11/2024,2,1,68
16,09/2024,3,1,146
16,10/2024,3,2,93
16,11/2024,3,1,84
17,09/2024,4,1,8
17,10/2024,4,3,105
17,11/2024,4,1,3
18,09/2024,2,2,56
18,10/2024,2,1,17
18,11/2024,2,1,1
19,09/2024,2,1,18
19,10/2024,2,1,11
19,11/2024,2,2,10
2,09/2024,2,2,281
2,10/2024,2,1,69
2,11/2024,2,1,177
20,09/2024,4,2,93
20,10/2024,4,1,83
20,11/2024,4,2,50
22,09/2024,3,2,76
22,10/2024,3,2,59
22,11/2024,3,3,83
23,09/2024,5,5,199
23,10/2024,5,5,179
23,11/2024,5,3,192
24,09/2024,6,2,57
24,10/2024,6,3,190
24,11/2024,6,5,380
25,09/2024,5,5,415
25,10/2024,5,4,85
25,11/2024,5,4,149
26,09/2024,2,2,22
26,10/2024,2,2,24
26,11/2024,2,2,62
27,09/2024,2,1,15
27,10/2024,2,1,20
27,11/2024,2,1,32
28,09/2024,4,1,69
28,10/2024,4,2,221
28,11/2024,4,3,27
3,09/2024,3,3,142
3,10/2024,3,2,34
3,11/2024,3,1,4
4,09/2024,3,2,85
4,10/2024,3,3,123
4,11/2024,3,2,155
5,09/2024,5,3,100
5,10/2024,5,1,6
5,11/2024,5,3,142
6,09/2024,4,4,475
6,10/2024,4,2,104
6,11/2024,4,3,251
7,09/2024,5,2,78
7,10/2024,5,3,119
7,11/2024,5,3,160
8,09/2024,16,9,447
8,10/2024,16,7,526
8,11/2024,16,6,172
9,09/2024,14,8,680
9,10/2024,14,9,1018
9,11/2024,14,11,780
