area,trabalhados,nao_trabalhados,focal,perifocal,nebulizacao,mecanico,alternativo
17,1356,1307,0,0,0,245,5
5,16679,14414,56,0,0,1064,71
20,491,506,1,0,0,57,0
2,11882,12156,21,0,0,5062,54
4,19145,19848,52,0,0,1153,103
19,969,1266,0,0,0,28,0
21,191,242,0,0,0,19,4
18,5051,4770,0,0,0,111,0
16,4315,4349,4,0,0,84,4
7,4200,3122,1,0,0,21,1
3,12425,12265,38,0,11,1097,86
15,6968,3866,74,0,0,309,41
6,642,564,1,0,0,12,1
1,16608,14002,97,0,32,3289,76
8,10180,8524,6,0,0,489,72
25,749,1258,1,0,0,13,7
10,12158,6414,124,0,0,560,87
24,8356,6493,108,0,0,644,71
11,7675,6201,90,0,0,487,33
12,2581,2528,37,0,0,253,10
9,7571,5830,37,0,0,422,43
23,2410,2884,0,0,0,29,0
13,15184,11847,2,0,494,610,58
26,2176,2779,3,0,0,964,13
27,1943,2684,0,0,0,296,3
28,518,1056,0,0,0,5,1
