area,trabalhados,nao_trabalhados,im_agua,rec_agua,focal,peri,nebul,mecanico,alternativo
01/2023,1980,3303,5,5,0,0,1111,45,0
01/2024,172,193,0,0,0,0,101,8,0
02/2023,1557,1501,23,23,37,0,0,198,10
02/2024,148,180,0,0,0,0,28,15,4
03/2023,2189,1590,0,0,1,0,838,20,0
03/2024,569,510,0,0,3,0,345,19,1
04/2023,3558,3466,0,0,1,0,0,95,1
04/2024,656,432,0,0,0,0,371,14,5
05/2024,792,669,0,0,0,0,454,50,5
06/2023,749,605,0,0,0,0,0,11,1
06/2024,187,139,0,0,0,0,0,6,0
07/2023,1122,834,0,0,15,0,0,96,5
07/2024,144,193,0,0,1,0,0,70,1
08/2023,993,987,0,0,0,0,0,55,0
08/2024,266,283,0,0,1,0,0,9,0
09/2023,456,505,0,0,0,0,0,20,0
09/2024,454,241,0,0,1,0,326,12,1
100/2024,1617,1111,0,0,0,0,1617,0,0
101/2024,2157,1605,9,9,36,0,0,111,10
10/2023,7672,8771,0,0,4,0,3280,153,2
10/2024,936,804,0,0,0,0,463,1,0
102/2024,1335,965,0,0,0,0,1335,0,0
103/2024,870,687,0,0,0,0,870,0,0
104/2024,2863,2151,0,0,0,0,2863,0,0
105/2024,1856,1033,0,0,0,0,1856,0,0
106/2024,1371,1074,0,0,0,0,1371,0,0
107/2024,518,534,0,0,0,0,0,244,4
108/2024,517,378,0,0,17,0,0,34,3
11/2023,3551,3705,0,0,0,0,778,59,0
11/2024,105,66,0,0,0,0,0,4,1
112/2024,325,457,0,0,2,0,0,194,5
113/2024,162,279,0,0,1,0,0,119,1
114/2024,3085,2664,0,0,0,0,3085,0,0
12/2023,552,766,0,0,0,0,0,26,0
12/2024,2550,1823,0,0,0,0,2550,0,0
13/2023,140,146,0,0,0,0,140,0,0
14/2023,2168,1986,0,0,0,0,0,34,2
14/2024,124,126,0,0,0,0,0,1,0
15/2023,1987,1937,0,0,0,0,0,78,0
16/2023,4126,3843,6,6,1,0,1666,39,0
16/2024,852,600,0,0,0,0,852,0,0
17/2023,1114,1647,0,0,0,0,714,9,0
17/2024,714,568,0,0,1,0,530,8,3
18/2023,540,519,0,0,0,0,527,10,0
18/2024,635,592,0,0,0,0,434,9,1
19/2023,6853,6199,0,0,2,0,3004,124,1
19/2024,1230,1250,0,0,0,0,1230,0,0
20/2023,1332,1303,24,24,54,0,0,187,22
20/2024,891,521,0,0,0,0,478,26,10
21/2023,1285,1243,0,0,0,0,1184,0,0
21/2024,2387,1399,0,0,0,0,2387,0,0
22/2023,780,715,0,0,0,0,0,173,2
22/2024,583,347,0,0,0,0,583,0,0
23/2023,5384,3530,0,0,7,0,0,1550,27
23/2024,491,506,0,0,1,0,0,57,0
24/2023,2815,3360,1,1,0,0,0,495,18
24/2024,10353,7515,24,24,10,0,4421,516,70
25/2023,2254,2252,0,0,1,0,790,32,0
25/2024,887,1130,0,0,0,0,0,82,3
26/2023,89,139,0,0,0,0,36,0,0
26/2024,182,257,0,0,0,0,0,55,0
27/2023,100,184,0,0,0,0,48,0,0
27/2024,632,395,0,0,3,0,399,21,2
28/2023,325,274,0,0,0,0,161,2,0
28/2024,1403,573,0,0,0,0,1403,0,0
29/2023,1982,1783,0,0,0,0,0,23,0
29/2024,1713,1223,0,0,0,0,1713,0,0
30/2023,334,314,0,0,0,0,155,0,0
30/2024,599,489,0,0,0,0,599,0,0
31/2023,242,315,0,0,0,0,113,0,0
31/2024,473,173,0,0,0,0,473,0,0
32/2023,198,157,0,0,0,0,96,0,0
32/2024,1440,1684,0,0,0,0,1152,5,1
33/2023,238,369,1,1,0,0,164,1,0
33/2024,267,347,0,0,0,0,267,0,0
34/2023,2483,2077,0,0,0,0,2453,0,0
34/2024,924,640,0,0,0,0,924,0,0
35/2023,3438,1500,18,18,93,0,0,236,29
35/2024,1191,927,0,0,0,0,1191,0,0
36/2023,1864,1971,0,0,0,0,1864,0,0
36/2024,468,1279,0,0,1,0,0,355,4
37/2023,1030,949,0,0,0,0,510,5,1
37/2024,986,1253,0,0,0,0,0,500,2
38/2023,4819,1953,27,27,71,0,0,268,35
38/2024,611,720,0,0,0,0,274,233,3
39/2023,2099,2116,0,0,1,0,0,49,1
39/2024,503,277,0,0,0,0,503,0,0
40/2023,2121,2266,0,0,0,0,0,21,0
40/2024,331,164,0,0,0,0,331,0,0
41/2023,313,795,0,0,0,0,0,3,1
41/2024,1898,2082,0,0,0,0,1064,24,1
