area,atividade,trabalhados,nao_trabalhados,rec_agua,rec_larva,im_larva,ib_larva,ip_larva
1,Aval. Dens. Larvária,3921,3740,2281,83,78,2.12,1.99
1,Contr. Criadouros,16608,14002,39,24,21,0.14,0.13
1,Nebul. Portátil,14455,11871,1,1,1,0.01,0.01
1,Outras,10,0,0,0,0,0.00,0.00
1,Visita a Imóveis,20480,18013,2,2,2,0.01,0.01
10,Aval. Dens. Larvária,3579,1824,228,57,40,1.59,1.12
10,Contr. Criadouros,12158,6414,112,58,40,0.48,0.33
10,Nebul. Portátil,5907,3796,0,0,0,0.00,0.00
10,Outras,17,0,0,0,0,0.00,0.00
10,Visita a Imóveis,40187,14380,2,2,2,0.00,0.00
101,Aval. Dens. Larvária,7,5,3,1,1,14.29,14.29
101,Outras,3,0,0,0,0,0.00,0.00
101,Visita a Imóveis,5939,1252,12,12,12,0.20,0.20
11,Aval. Dens. Larvária,3235,2665,2332,127,89,3.93,2.75
11,Contr. Criadouros,7675,6201,26,23,15,0.30,0.20
11,Nebul. Portátil,3270,2085,0,0,0,0.00,0.00
11,Outras,7,0,0,0,0,0.00,0.00
11,Visita a Imóveis,13655,7043,1,1,1,0.01,0.01
12,Aval. Dens. Larvária,3721,2726,3970,240,173,6.45,4.65
12,Contr. Criadouros,2581,2528,41,29,23,1.12,0.89
12,Nebul. Portátil,1335,965,0,0,0,0.00,0.00
12,Outras,8,0,0,0,0,0.00,0.00
12,Visita a Imóveis,25094,15288,12,6,6,0.02,0.02
13,Aval. Dens. Larvária,3527,2716,4808,85,61,2.41,1.73
13,Contr. Criadouros,15184,11847,54,48,35,0.32,0.23
13,Nebul. Portátil,16802,11853,0,0,0,0.00,0.00
13,Outras,30,0,2,2,2,6.67,6.67
13,Visita a Imóveis,28202,24513,103,44,17,0.16,0.06
14,Aval. Dens. Larvária,2621,4041,2473,198,133,7.55,5.07
14,Outras,3,0,0,0,0,0.00,0.00
14,Visita a Imóveis,20662,14155,0,0,0,0.00,0.00
15,Aval. Dens. Larvária,3693,2620,399,96,77,2.60,2.09
15,Contr. Criadouros,6968,3866,49,37,27,0.53,0.39
15,Nebul. Portátil,5553,3602,0,0,0,0.00,0.00
15,Outras,5,0,0,0,0,0.00,0.00
15,Visita a Imóveis,31400,19308,1,1,1,0.00,0.00
16,Aval. Dens. Larvária,3387,3152,560,59,51,1.74,1.51
16,Contr. Criadouros,4315,4349,0,0,0,0.00,0.00
16,Nebul. Portátil,3455,2668,0,0,0,0.00,0.00
16,Outras,4,0,0,0,0,0.00,0.00
16,Visita a Imóveis,19849,17248,0,0,0,0.00,0.00
17,Aval. Dens. Larvária,1193,1915,2354,95,53,7.96,4.44
17,Contr. Criadouros,1356,1307,0,0,0,0.00,0.00
17,Nebul. Portátil,992,777,0,0,0,0.00,0.00
17,Outras,4,1,0,0,0,0.00,0.00
17,Visita a Imóveis,33114,19423,1,1,1,0.00,0.00
18,Aval. Dens. Larvária,4403,4591,110,44,43,1.00,0.98
18,Contr. Criadouros,5051,4770,0,0,0,0.00,0.00
18,Nebul. Portátil,11752,10737,0,0,0,0.00,0.00
18,Outras,5,0,0,0,0,0.00,0.00
18,Visita a Imóveis,38566,23356,0,0,0,0.00,0.00
19,Aval. Dens. Larvária,2040,2813,381,79,61,3.87,2.99
19,Contr. Criadouros,969,1266,0,0,0,0.00,0.00
19,Nebul. Portátil,1652,1306,0,0,0,0.00,0.00
19,Outras,4,0,0,0,0,0.00,0.00
19,Visita a Imóveis,20013,14312,1,0,0,0.00,0.00
2,Aval. Dens. Larvária,4487,6466,7541,361,217,8.05,4.84
2,Contr. Criadouros,11882,12156,9,9,7,0.08,0.06
2,Nebul. Portátil,10918,8413,0,0,0,0.00,0.00
2,Outras,18,0,0,0,0,0.00,0.00
2,Visita a Imóveis,45309,46901,7,2,2,0.00,0.00
20,Aval. Dens. Larvária,3209,4277,1557,125,98,3.90,3.05
20,Contr. Criadouros,491,506,0,0,0,0.00,0.00
20,Nebul. Portátil,599,489,0,0,0,0.00,0.00
20,Outras,3,0,0,0,0,0.00,0.00
20,Visita a Imóveis,20310,14690,0,0,0,0.00,0.00
21,Aval. Dens. Larvária,1795,2053,1893,92,58,5.13,3.23
21,Contr. Criadouros,191,242,0,0,0,0.00,0.00
21,Nebul. Portátil,129,131,0,0,0,0.00,0.00
21,Outras,3,0,0,0,0,0.00,0.00
21,Visita a Imóveis,9856,7686,7,1,1,0.01,0.01
22,Aval. Dens. Larvária,1172,762,1357,43,28,3.67,2.39
22,Outras,7,0,0,0,0,0.00,0.00
22,Visita a Imóveis,24562,12636,13,9,6,0.04,0.02
23,Aval. Dens. Larvária,3184,3819,381,88,78,2.76,2.45
23,Contr. Criadouros,2410,2884,41,3,2,0.12,0.08
23,Nebul. Portátil,2041,2212,0,0,0,0.00,0.00
23,Outras,8,0,0,0,0,0.00,0.00
23,Visita a Imóveis,44410,19475,1,0,0,0.00,0.00
24,Aval. Dens. Larvária,3804,3831,1683,63,48,1.66,1.26
24,Contr. Criadouros,8356,6493,151,130,81,1.56,0.97
24,Nebul. Portátil,5463,4072,0,0,0,0.00,0.00
24,Outras,12,0,0,0,0,0.00,0.00
24,Visita a Imóveis,38983,23354,1,1,1,0.00,0.00
25,Aval. Dens. Larvária,3446,7988,4059,142,112,4.12,3.25
25,Contr. Criadouros,749,1258,0,0,0,0.00,0.00
25,Nebul. Portátil,1350,1516,0,0,0,0.00,0.00
25,Outras,6,1,0,0,0,0.00,0.00
25,Visita a Imóveis,29102,45506,8,1,1,0.00,0.00
26,Aval. Dens. Larvária,1501,2046,1762,100,81,6.66,5.40
26,Contr. Criadouros,2176,2779,0,0,0,0.00,0.00
26,Nebul. Portátil,1055,1493,0,0,0,0.00,0.00
26,Outras,2,0,0,0,0,0.00,0.00
26,Visita a Imóveis,24550,16084,13,13,12,0.05,0.05
27,Aval. Dens. Larvária,1813,3920,4013,50,42,2.76,2.32
27,Contr. Criadouros,1943,2684,5,5,5,0.26,0.26
27,Nebul. Portátil,2343,3817,0,0,0,0.00,0.00
27,Outras,4,0,0,0,0,0.00,0.00
27,Visita a Imóveis,55960,50686,187,7,6,0.01,0.01
28,Aval. Dens. Larvária,4211,5582,790,45,39,1.07,0.93
28,Contr. Criadouros,518,1056,0,0,0,0.00,0.00
28,Nebul. Portátil,240,221,0,0,0,0.00,0.00
28,Outras,3,0,0,0,0,0.00,0.00
28,Visita a Imóveis,14385,15881,0,0,0,0.00,0.00
29,Aval. Dens. Larvária,1477,4445,888,82,65,5.55,4.40
29,Outras,4,0,0,0,0,0.00,0.00
29,Visita a Imóveis,12952,23051,0,0,0,0.00,0.00
3,Aval. Dens. Larvária,4140,4808,3697,96,70,2.32,1.69
3,Contr. Criadouros,12425,12265,56,24,19,0.19,0.15
3,Nebul. Portátil,13590,10423,0,0,0,0.00,0.00
3,Outras,9,0,0,0,0,0.00,0.00
3,Visita a Imóveis,27134,24226,4,0,0,0.00,0.00
4,Aval. Dens. Larvária,4019,5950,5391,105,79,2.61,1.97
4,Contr. Criadouros,19145,19848,80,54,42,0.28,0.22
4,Nebul. Portátil,15393,15422,0,0,0,0.00,0.00
4,Outras,19,0,0,0,0,0.00,0.00
4,Visita a Imóveis,36662,41974,0,0,0,0.00,0.00
5,Aval. Dens. Larvária,3738,4204,6437,141,117,3.77,3.13
5,Contr. Criadouros,16679,14414,71,55,42,0.33,0.25
5,Nebul. Portátil,21338,17260,0,0,0,0.00,0.00
5,Outras,19,0,0,0,0,0.00,0.00
5,Visita a Imóveis,22513,20908,13,10,4,0.04,0.02
6,Aval. Dens. Larvária,4085,2745,1365,181,135,4.43,3.30
6,Contr. Criadouros,642,564,0,0,0,0.00,0.00
