data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
1607212800000,202050,117.0,117,117,117,0.6119168997,25.1622104645,0,1,354980520205019589,2023-08-20,0.0,1.0381649733,464983.0,21.6,69.037938,0,0,1,,,,,,,,,,12948
1606608000000,202049,126.0,126,126,126,0.8464823365,27.0977649689,0,1,354980520204919589,2023-08-20,0.0,1.1420235634,464983.0,21.8,64.367569,0,0,1,,,,,,,,,,12948
1606003200000,202048,109.0,109,109,109,0.4751845598,23.4417171478,0,1,354980520204819589,2023-08-20,0.0,0.9916375875,464983.0,22.0,59.6972,0,0,1,42.3045247143,26.5592662857,27.0714288571,32.4285714286,,,,,,12948
1605398400000,202047,105.0,105,105,105,0.5327118039,22.5814704895,0,1,354980520204719589,2023-08-20,0.0,1.0114033222,464983.0,21.2857142857,73.2672214286,0,0,1,54.6546677143,34.8146774286,25.393422,30.4285714286,,,,,,12948
1604793600000,202046,121.0,121,121,121,0.9573556781,26.0224571228,0,1,354980520204619589,2023-08-20,0.0,1.2637898922,464983.0,22.2857142857,64.253932,0,1,1,46.1332355714,30.7415845714,26.9378885714,31.8571428571,,,,,,12948
1604188800000,202045,103.0,103,103,103,0.7668603063,22.151348114,0,1,354980520204519589,2023-08-20,0.0,1.1095694304,464983.0,17.2857142857,59.0321775714,0,0,1,36.029069,17.255492,23.6428202857,29.7142857143,,,,,,12948
1603584000000,202044,93.0,93,93,93,0.3197413683,20.0007305145,0,1,354980520204419589,2023-08-20,0.0,0.9348223209,464983.0,20.5714285714,74.5806685714,0,0,1,57.4140074286,37.4163082857,24.6123894286,30.1428571429,,,,,,12948
1602979200000,202043,90.0,90,90,90,0.0440782867,19.3555469513,0,1,354980520204319589,2023-08-20,0.0,0.7874429822,464983.0,21.0,73.0859071429,0,0,1,56.2665384286,38.1180805714,24.9107851429,29.7142857143,,,,,,12948
1602374400000,202042,90.0,90,90,90,0.0069848676,19.3555469513,0,1,354980520204219589,2023-08-20,0.0,0.7144632936,464983.0,20.5714285714,58.5059412857,0,0,1,41.4128862857,26.6604817143,25.7321428571,31.5714285714,,,,,,12948
1601769600000,202041,120.0,120,120,120,0.3286563158,25.8073959351,0,1,354980520204119589,2023-08-20,0.0,0.9451844692,464983.0,25.2857142857,48.5242722857,0,0,1,30.6706947143,16.2244725714,31.19617,37.7142857143,,,,,,12948
1601164800000,202040,132.0,132,132,132,0.7006500959,28.3881340027,0,1,354980520204019589,2023-08-20,0.0,1.0679551363,464983.0,26.2857142857,32.9814005714,0,0,1,21.9425452857,11.754933,31.5742754286,38.0,,,,,,12948
1600560000000,202039,136.0,136,136,136,0.7786172032,29.248380661,0,1,354980520203919589,2023-08-20,0.0,1.099840045,464983.0,19.8571428571,61.9788188571,0,0,1,46.0231254286,27.6769975714,24.3677537143,29.7142857143,,,,,,12948
1599955200000,202038,109.0,109,109,109,0.3060961962,23.4417171478,0,1,354980520203819589,2023-08-20,0.0,0.9348235726,464983.0,21.8571428571,41.8126848571,0,0,1,24.9887398571,14.1649282857,27.88589,33.7142857143,,,,,,12948
1599350400000,202037,136.0,136,136,136,0.979873836,29.248380661,0,1,354980520203719589,2023-08-20,0.0,1.3038657904,464983.0,22.7142857143,31.8838898571,0,1,1,19.9799901429,11.0281005714,28.5012465714,34.5714285714,,,,,,12948
1598745600000,202036,125.0,125,125,125,0.8927658796,26.8827037811,0,1,354980520203619589,2023-08-20,0.0,1.1773532629,464983.0,21.1428571429,48.4155788571,0,0,1,29.4677955714,15.3863657143,26.7785551429,33.0,,,,,,12948
1598140800000,202035,93.0,93,93,93,0.0219640061,20.0007305145,0,1,354980520203519589,2023-08-20,0.0,0.7593637705,464983.0,15.5714285714,51.8716882857,0,0,1,33.3091681429,16.8850620714,21.8178051429,28.7142857143,,,,,,12948
1597536000000,202034,89.0,89,89,89,0.0013155,19.1404838562,0,1,354980520203419589,2023-08-20,0.0,0.665948689,464983.0,16.4285714286,72.915393,0,0,1,56.182211,38.5771214286,20.465062,25.2857142857,,,,,,12948
1596931200000,202033,138.0,138,138,138,0.3429289758,29.6785049438,0,1,354980520203319589,2023-08-20,0.0,0.9530940056,464983.0,19.0,49.836437,0,0,1,32.1468245714,18.74409,24.6048134286,30.5714285714,,,,,,12948
1596326400000,202032,138.0,138,138,138,0.0464281999,29.6785049438,0,1,354980520203219589,2023-08-20,0.0,0.8248620629,464983.0,16.0,50.5973864286,0,0,1,31.3179921429,17.98041,21.6283648571,27.0,,,,,,12948
1595721600000,202031,123.0,123,123,123,7.44024e-05,26.4525794983,0,1,354980520203119589,2023-08-20,0.0,0.6482944489,464983.0,16.0,65.4401384286,0,0,1,43.9822578571,23.8124755714,22.3602551429,29.1428571429,,,,,,12948
