data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
1607212800000,202050,159.0,159,159,159,0.9542558193,1.2900365591,0,2,355030820205019589,2023-08-20,0.0,1.2197179794,12325232.0,18.8571428571,,1,1,1,,,,,,,,,,15757
1606608000000,202049,144.0,144,144,144,0.9423532486,1.1683349609,0,1,355030820204919589,2023-08-20,0.0,1.2147468328,12325232.0,18.6428571429,,1,0,1,,,,,,,,,,15757
1606003200000,202048,131.0,131,131,131,0.9479414821,1.0628603697,0,1,355030820204819589,2023-08-20,0.0,1.2353240252,12325232.0,18.4285714286,77.8529442857,1,0,1,65.92401,46.7453215714,21.5656174286,26.4285714286,,,,,,15757
1605398400000,202047,116.0,116,116,116,0.9600631595,0.9411587715,0,1,355030820204719589,2023-08-20,0.0,1.2762663364,12325232.0,17.0,85.0024271429,0,0,0,74.4440954286,58.8110301429,19.6854551429,23.0,,,,,,15757
1604793600000,202046,115.0,115,115,115,0.9889566898,0.9330453277,0,1,355030820204619589,2023-08-20,0.0,1.3865947723,12325232.0,18.0,87.3807842857,0,0,0,75.6823451429,50.3540684286,20.8414497143,26.8571428571,,,,,,15757
1604188800000,202045,86.0,86,86,86,0.5422662497,0.6977556348,0,1,355030820204519589,2023-08-20,0.0,1.0163451433,12325232.0,13.2857142857,84.6391114286,0,0,0,73.4615928571,56.1783768571,15.6326462857,19.2857142857,,,,,,15757
1603584000000,202044,70.0,70,70,70,0.082406804,0.5679406524,0,1,355030820204419589,2023-08-20,0.0,0.8012738228,12325232.0,17.7142857143,83.666848,0,0,0,69.3753221429,47.9849575714,20.8450262857,25.5714285714,,,,,,15757
1602979200000,202043,96.0,96,96,96,0.4521049559,0.7788900137,0,1,355030820204319589,2023-08-20,0.0,0.9828897715,12325232.0,17.1428571429,83.5268871429,0,0,0,74.0657264286,54.329973,19.7579285714,24.5714285714,,,,,,15757
1602374400000,202042,81.0,81,81,81,0.007801956,0.6571884155,0,1,355030820204219589,2023-08-20,0.0,0.7063920498,12325232.0,15.5714285714,88.04342,0,0,0,73.2142548571,56.2298595714,18.6224075714,23.0,,,,,,15757
1601769600000,202041,84.0,84,84,84,0.0060324785,0.6815287471,0,1,355030820204119589,2023-08-20,0.0,0.7020064592,12325232.0,18.7142857143,90.7664991429,1,0,0,77.8255487143,54.3933727143,21.9093031429,27.7142857143,,,,,,15757
1601164800000,202040,132.0,132,132,132,0.8770901561,1.0709737539,0,1,355030820204019589,2023-08-20,0.0,1.15949893,12325232.0,22.0,74.0885194286,1,0,1,56.5060078571,33.6300264286,25.7559895714,31.4285714286,,,,,,15757
1600560000000,202039,129.0,129,129,129,0.8980624676,1.046633482,0,1,355030820203919589,2023-08-20,0.0,1.1788772345,12325232.0,15.2857142857,89.4744108571,0,0,1,78.8430488571,63.5025198571,17.3585541429,21.0,,,,,,15757
1599955200000,202038,103.0,103,103,103,0.4984018207,0.8356840611,0,1,355030820203819589,2023-08-20,0.0,0.9994431138,12325232.0,18.4285714286,81.8847791429,1,0,0,63.1266602857,39.2452545714,22.0597828571,27.7142857143,,,,,,15757
1599350400000,202037,117.0,117,117,117,0.9496055245,0.9492722154,0,1,355030820203719589,2023-08-20,0.0,1.2543410063,12325232.0,18.4285714286,85.934526,1,0,0,67.4628248571,38.7271691429,22.3889985714,29.0,,,,,,15757
1598745600000,202036,105.0,105,105,105,0.8576134443,0.8519109488,0,1,355030820203619589,2023-08-20,0.0,1.1653914452,12325232.0,16.7142857143,86.6784128571,0,0,0,70.475156,48.6475157143,20.0682555714,25.2857142857,,,,,,15757
1598140800000,202035,95.0,95,95,95,0.4487608969,0.7707765698,0,1,355030820203519589,2023-08-20,0.0,0.9816108942,12325232.0,11.7142857143,84.4686424286,0,0,0,70.6093457143,45.9820552857,15.75,21.5714285714,,,,,,15757
1597536000000,202034,70.0,70,70,70,0.0050594099,0.5679406524,0,1,355030820203419589,2023-08-20,0.0,0.6749899983,12325232.0,13.4285714286,92.0775991429,0,0,0,85.8248962857,77.2898325714,14.8904102857,16.8571428571,,,,,,15757
1596931200000,202033,117.0,117,117,117,0.5433117151,0.9492722154,0,1,355030820203319589,2023-08-20,0.0,1.0143495798,12325232.0,16.4285714286,80.5834857143,0,0,0,60.4979161429,34.4669637143,20.7167562857,26.8571428571,,,,,,15757
1596326400000,202032,86.0,86,86,86,0.0018576196,0.6977556348,0,1,355030820203219589,2023-08-20,0.0,0.6705902219,12325232.0,12.8571428571,89.5071671429,0,0,0,75.0379821429,47.2348407143,16.0265387143,21.4285714286,,,,,,15757
1595721600000,202031,123.0,123,123,123,0.1235438511,0.9979528189,0,1,355030820203119589,2023-08-20,0.0,0.8674362898,12325232.0,14.1428571429,88.8665785714,0,0,1,76.3719048571,53.949494,17.0205021429,21.8571428571,,,,,,15757
1595116800000,202030,128.0,128,128,128,0.0335619263,1.0385199785,0,1,355030820203019589,2023-08-20,0.0,0.8053465486,12325232.0,16.0,73.9078347143,0,0,1,56.3590768571,36.2672555714,20.0470914286,24.7142857143,,,,,,15757
