area,trabalhados,nao_trabalhados,im_agua,rec_agua,focal,peri,nebul,mecanico,alternativo
area 1,262,26,4,4,0,0,0,0,0
area 10,96,8,0,0,0,0,0,0,0
area 11,68,6,0,0,0,0,0,0,0
area 12,174,11,0,0,0,0,0,0,0
area 13,336,24,1,1,0,0,0,0,0
area 14,154,14,1,1,0,0,0,0,0
area 15,178,11,0,0,0,0,0,0,0
area 17,120,10,2,2,0,0,0,0,0
area 18,168,15,1,1,0,0,0,0,0
area 2,140,12,0,0,0,0,0,0,0
area 3,65,7,0,0,0,0,0,0,0
area 4,411,41,2,2,0,0,0,0,0
area 5,415,37,2,2,0,0,0,0,0
area 6,307,31,1,1,0,0,0,0,0
area 7,513,43,1,1,0,0,0,0,0
area 8,218,22,1,1,0,0,0,0,0
area 9,574,50,1,1,0,0,0,0,0
Área JK n°246,47,12,0,0,0,0,0,0,0
