CD_SETOR,AREA_KM2,NM_MUN,geometry,area,censitario,trabalhados,nao_trabalhados,im_aegypti,im_albopictus,focal,perifocal,nebulizacao,mecanico,alternativo,tratamento_imoveis,nao_trabalhados_ratio,incidencia_aedes
354980505000001,0.085072,São José do Rio Preto,"POLYGON ((-49.379511882 -20.8125188719999, -49.3801892669999 -20.8131431689999, -49.380905296 -20.8138112189999, -49.381591575 -20.814480623, -49.382266584 -20.813827449, -49.382794232 -20.8133297909999, -49.383497763 -20.812676613, -49.3827870169999 -20.81203578, -49.382090701 -20.811392465, -49.381403808 -20.810732613, -49.3807145389999 -20.811381356, -49.3802011509999 -20.811874577, -49.379511882 -20.8125188719999))",10,354980505000001,25.0,8.0,0.0,0,0,0,0,0,0,0.7575757575757576,0.24242424242424243,0.0
354980505000003,0.160996,São José do Rio Preto,"POLYGON ((-49.377184695 -20.8046182639999, -49.376766819 -20.806346302, -49.376988916 -20.806572369, -49.3779718499999 -20.8074911969999, -49.37824624 -20.807747691, -49.378662178 -20.808145388, -49.3793573899999 -20.8087797009999, -49.380044283 -20.809439561, -49.3807644509999 -20.8101171929999, -49.381403808 -20.810732613, -49.382107339 -20.810070536, -49.382940713 -20.8092882519999, -49.382161754 -20.80872217, -49.381372281 -20.808170124, -49.3803612089999 -20.807814696, -49.3795926929999 -20.8072577899999, -49.379465534 -20.807105598, -49.379352255 -20.8068060809999, -49.3793481769999 -20.8066983969999, -49.379349254 -20.8064889939999, -49.379422136 -20.806150841, -49.379441506 -20.8060690479999, -49.379452688 -20.806002819, -49.379551099 -20.8054125909999, -49.379415754 -20.805032105, -49.379255367 -20.804755878, -49.379058707 -20.804544504, -49.3788428399999 -20.8044144469999, -49.378658915 -20.804321116, -49.3784008219999 -20.804260611, -49.3781617189999 -20.8042434719999, -49.3778280569999 -20.8043300109999, -49.3776201279999 -20.8044507659999, -49.377425251 -20.8046552979999, -49.377184695 -20.8046182639999))",10,354980505000003,25.0,4.0,0.0,0,1,0,0,0,0,0.8620689655172413,0.13793103448275862,0.0
354980505000004,0.204667,São José do Rio Preto,"POLYGON ((-49.3751660139999 -20.8084287149999, -49.374955703 -20.8085814089999, -49.37487456 -20.808718273, -49.374799195 -20.808845388, -49.374693007 -20.809032343, -49.374655107 -20.809184919, -49.374678304 -20.8093543849999, -49.3747400939999 -20.809504966, -49.37508137 -20.810225955, -49.375303507 -20.810719814, -49.375505279 -20.8110872899999, -49.375574561 -20.811023307, -49.376058191 -20.810553774, -49.376753445 -20.809918168, -49.3774464489999 -20.8105793129999, -49.378141661 -20.811222503, -49.3788285539999 -20.8118690229999, -49.379511882 -20.8125188719999, -49.3802011509999 -20.811874577, -49.3807145389999 -20.811381356, -49.381403808 -20.810732613, -49.3807644509999 -20.8101171929999, -49.380044283 -20.809439561, -49.3793573899999 -20.8087797009999, -49.378662178 -20.808145388, -49.37824624 -20.807747691, -49.3779718499999 -20.8074911969999, -49.376988916 -20.806572369, -49.376974656 -20.8069767339999, -49.376903022 -20.807112059, -49.376781447 -20.8072438749999, -49.376575354 -20.807416647, -49.376033446 -20.807945429, -49.3753584369999 -20.8086075149999, -49.3751660139999 -20.8084287149999))",10,354980505000004,33.0,7.0,0.0,0,0,0,0,0,0,0.825,0.175,0.0
354980505000005,0.066801,São José do Rio Preto,"POLYGON ((-49.375505279 -20.8110872899999, -49.375942901 -20.8118843029999, -49.3765539629999 -20.8126932759999, -49.3772456099999 -20.8133531189999, -49.378139284 -20.812517761, -49.3788285539999 -20.8118690229999, -49.378141661 -20.811222503, -49.3774464489999 -20.8105793129999, -49.376753445 -20.809918168, -49.376058191 -20.810553774, -49.375574561 -20.811023307, -49.375505279 -20.8110872899999))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000006,0.056266,São José do Rio Preto,"POLYGON ((-49.3772456099999 -20.8133531189999, -49.3779622129999 -20.8139585289999, -49.37873467 -20.8145294999999, -49.37954278 -20.8150960249999, -49.3802073639999 -20.814469731, -49.379499998 -20.813796345, -49.3801892669999 -20.8131431689999, -49.379511882 -20.8125188719999, -49.3788285539999 -20.8118690229999, -49.378139284 -20.812517761, -49.3772456099999 -20.8133531189999))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000009,0.036401,São José do Rio Preto,"POLYGON ((-49.382268961 -20.815122684, -49.3829534769999 -20.8157558569999, -49.383660573 -20.816410133, -49.3843260749999 -20.815783628, -49.384867984 -20.815259317, -49.384175149 -20.814613923, -49.3834716179999 -20.8139851879999, -49.38294397 -20.814473957, -49.382268961 -20.815122684))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000010,0.048877,São José do Rio Preto,"POLYGON ((-49.381591575 -20.814480623, -49.382268961 -20.815122684, -49.38294397 -20.814473957, -49.3834716179999 -20.8139851879999, -49.384175149 -20.814613923, -49.384867984 -20.815259317, -49.385547746 -20.81461059, -49.3848644189999 -20.8139651939999, -49.384175149 -20.813327569, -49.383497763 -20.812676613, -49.382794232 -20.8133297909999, -49.382266584 -20.813827449, -49.381591575 -20.814480623))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000012,0.02396,São José do Rio Preto,"POLYGON ((-49.386242958 -20.812667726, -49.3869167789999 -20.813304242, -49.3874586869999 -20.812797695, -49.387803951 -20.812450645, -49.387058071 -20.811899954, -49.386261471 -20.8113479159999, -49.385553688 -20.81202121, -49.386242958 -20.812667726))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000013,0.030472,São José do Rio Preto,"POLYGON ((-49.384177525 -20.812032318, -49.384859665 -20.812674391, -49.385548935 -20.8133120169999, -49.386242958 -20.812667726, -49.385553688 -20.81202121, -49.386261471 -20.8113479159999, -49.3854742509999 -20.810793772, -49.384876302 -20.8113658039999, -49.384177525 -20.812032318))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
354980505000016,0.108279,São José do Rio Preto,"POLYGON ((-49.383340894 -20.8076199389999, -49.382276593 -20.8086206689999, -49.382161754 -20.80872217, -49.382940713 -20.8092882519999, -49.3837204289999 -20.809840998, -49.3846855199999 -20.810239984, -49.384797272 -20.810141088, -49.385424153 -20.809547316, -49.3861241179999 -20.8088885669999, -49.386818142 -20.808244257, -49.386126495 -20.8076021649999, -49.3854300949999 -20.8069422959999, -49.384733695 -20.8062957559999, -49.384030164 -20.8069534049999, -49.383340894 -20.8076199389999))",,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
